cenario,decisao,qtd_clientes,participacao_clientes,pd_media,bad_rate_observado,valor_solicitado_total,valor_aprovado_total,valor_solicitado_medio,valor_aprovado_medio
Conservador,Análise manual,1393,0.2865076100370218,0.17024361967247958,0.18449389806173727,21257341.339999996,0.0,15260.115821966974,0.0
Conservador,Aprovar valor reduzido,2443,0.5024681201151789,0.03775094226091896,0.022922636103151862,33702870.34,11297704.6076353,13795.689864920181,4624.520920030823
Conservador,Aprovar valor solicitado,399,0.08206499382969971,0.016515236601757608,0.010025062656641603,1510011.37,1510011.37,3784.4896491228074,3784.4896491228074
Conservador,Recusar,627,0.12895927601809956,0.42331398311366003,0.4481658692185008,8134144.17,0.0,12973.116698564592,0.0
Base/Equilibrado,Análise manual,1445,0.2972027972027972,0.1680842813852666,0.17923875432525951,21631480.92,0.0,14969.882989619378,0.0
Base/Equilibrado,Aprovar valor reduzido,2099,0.43171534348004936,0.04148280491120727,0.0281086231538828,31697204.82,13315506.307153016,15101.098056217246,6343.738116795148
Base/Equilibrado,Aprovar valor solicitado,821,0.1688605512134924,0.019477309733078603,0.007308160779537149,3827209.16,3827209.16,4661.643313032887,4661.643313032887
Base/Equilibrado,Recusar,497,0.10222130810366105,0.5139583411717572,0.5513078470824949,7448472.32,0.0,14986.865835010061,0.0
Expansivo controlado,Análise manual,1415,0.29103249691484984,0.16936801983187463,0.18303886925795054,21346856.09,0.0,15086.117378091873,0.0
Expansivo controlado,Aprovar valor reduzido,1815,0.3733031674208145,0.04489905852974536,0.02975206611570248,29762361.45,14779317.417370867,16397.9952892562,8142.87461012169
Expansivo controlado,Aprovar valor solicitado,1144,0.23529411764705882,0.022441603157787884,0.01048951048951049,6062534.789999999,6062534.789999999,5299.418522727272,5299.418522727272
Expansivo controlado,Recusar,488,0.10037021801727684,0.5216426796259332,0.5594262295081968,7432614.890000001,0.0,15230.768217213115,0.0
